position,ref_word,model_majority,votes,total_models,decision,segment,audio
0,हम्म,बहुत,5,6,LATTICE: both accepted as valid alternatives,10,for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav
36,वेव्स,वेब्स,3,6,LATTICE: both accepted as valid alternatives,13,or_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav
1,सब्ज़ी,सब्जी,4,6,LATTICE: both accepted as valid alternatives,14,or_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav
1,हो,बंद,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
2,जाता,हो,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
3,है,जाता,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
4,तो,है,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
5,इन,तो,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
6,सब,इन,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
7,से,सबसे,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
9,सब,सबका,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
10,का,एक,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
11,एक,ही,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
12,ही,उपाय,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
13,उपाय,होता,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
14,होता,है,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
15,है,कई,3,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
16,कई,अन्य,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
17,अन्य,जगह,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
18,जगह,पर,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
19,पर,घूमने,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
20,घूमने,जाना,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
21,जाना,यात्रा,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
22,यात्रा,करना,4,6,LATTICE: both accepted as valid alternatives,16,_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav
3,के,कीमत,3,6,LATTICE: both accepted as valid alternatives,18,or_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav
4,मामले,के,3,6,LATTICE: both accepted as valid alternatives,18,or_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav
5,में,मामले,3,6,LATTICE: both accepted as valid alternatives,18,or_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav
6,बाजारों,में,3,6,LATTICE: both accepted as valid alternatives,18,or_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav
8,तुलना,की,3,6,LATTICE: both accepted as valid alternatives,18,or_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav
9,मोल,तुलना,3,6,LATTICE: both accepted as valid alternatives,18,or_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav
11,करना,से,3,6,LATTICE: both accepted as valid alternatives,18,or_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav
2,यहाँ,और,3,6,LATTICE: both accepted as valid alternatives,19,for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav
5,मैं,में,3,6,LATTICE: both accepted as valid alternatives,36,or_josh/bcmk_TR/hindi/ch_1596221_153.00_164.31.wav
11,ज़्यादा,ज्यादा,4,6,LATTICE: both accepted as valid alternatives,40,_josh/bcmk_TR/hindi/ch_1630690_1023.81_1031.46.wav
0,एक,ठीक,4,6,LATTICE: both accepted as valid alternatives,43,_for_josh/bcmk_TR/hindi/ch_13457_121.08_125.85.wav
